symbol,industry,sector_name,assignment_count,is_unique_assignment
000001.SZ,综合性银行,GICS4综合性银行,1,True
000002.SZ,房地产开发,GICS4房地产开发,1,True
000003.SZ,工业集团企业,GICS4工业集团企业,1,True
000004.SZ,制药,GICS4制药,1,True
000005.SZ,环境与设施服务,GICS4环境与设施服务,1,True
000006.SZ,房地产开发,GICS4房地产开发,1,True
000007.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
000008.SZ,铁路运输,GICS4铁路运输,1,True
000009.SZ,工业集团企业,GICS4工业集团企业,1,True
00001.HK,工业集团企业,GICS4工业集团企业,1,True
000010.SZ,建筑与工程,GICS4建筑与工程,1,True
000011.SZ,房地产开发,GICS4房地产开发,1,True
000012.SZ,建筑材料,GICS4建筑材料,1,True
000013.SZ,商品化工,GICS4商品化工,1,True
000014.SZ,房地产开发,GICS4房地产开发,1,True
000015.SZ,工业集团企业,GICS4工业集团企业,1,True
000016.SZ,家用电器,GICS4家用电器,1,True
000017.SZ,服装、服饰与奢侈品,GICS4服装、服饰与奢侈品,1,True
000018.SZ,建筑与工程,GICS4建筑与工程,1,True
000019.SZ,软饮料与不含酒精饮料,GICS4软饮料与不含酒精饮料,1,True
00002.HK,电力公用事业,GICS4电力公用事业,1,True
000020.SZ,电子元件,GICS4电子元件,1,True
000021.SZ,电脑硬件、储存设备及电脑周边,GICS4电脑硬件、储存设备及电脑周边,1,True
000022.SZ,海港与服务,GICS4海港与服务,1,True
000023.SZ,建筑材料,GICS4建筑材料,1,True
000024.SZ,房地产开发,GICS4房地产开发,1,True
000025.SZ,工业集团企业,GICS4工业集团企业,1,True
000026.SZ,服装、服饰与奢侈品,GICS4服装、服饰与奢侈品,1,True
000027.SZ,电力公用事业,GICS4电力公用事业,1,True
000028.SZ,药品零售,GICS4药品零售,1,True
000029.SZ,房地产开发,GICS4房地产开发,1,True
00003.HK,燃气公用事业,GICS4燃气公用事业,1,True
000030.SZ,汽车零件与设备,GICS4汽车零件与设备,1,True
000031.SZ,房地产开发,GICS4房地产开发,1,True
000032.SZ,建筑与工程,GICS4建筑与工程,1,True
000033.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
000034.SZ,工业集团企业,GICS4工业集团企业,1,True
000035.SZ,环境与设施服务,GICS4环境与设施服务,1,True
000036.SZ,房地产开发,GICS4房地产开发,1,True
000037.SZ,电力公用事业,GICS4电力公用事业,1,True
000038.SZ,综合支持服务,GICS4综合支持服务,1,True
000039.SZ,工业机械、物料与部件,GICS4工业机械、物料与部件,1,True
000040.SZ,新能源发电业者,GICS4新能源发电业者,1,True
000042.SZ,房地产开发,GICS4房地产开发,1,True
000043.SZ,房地产开发,GICS4房地产开发,1,True
000045.SZ,贸易公司与经销商,GICS4贸易公司与经销商,1,True
000046.SZ,房地产开发,GICS4房地产开发,1,True
000047.SZ,工业集团企业,GICS4工业集团企业,1,True
000048.SZ,农产品与服务,GICS4农产品与服务,1,True
000049.SZ,电子元件,GICS4电子元件,1,True
00005.HK,综合性银行,GICS4综合性银行,1,True
000050.SZ,电子设备和仪器,GICS4电子设备和仪器,1,True
000055.SZ,建筑产品,GICS4建筑产品,1,True
000056.SZ,综合支持服务,GICS4综合支持服务,1,True
000058.SZ,电脑与电子产品零售,GICS4电脑与电子产品零售,1,True
000059.SZ,商品化工,GICS4商品化工,1,True
00006.HK,电力公用事业,GICS4电力公用事业,1,True
000060.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000061.SZ,食品分销商,GICS4食品分销商,1,True
000062.SZ,技术产品经销商,GICS4技术产品经销商,1,True
000063.SZ,通信设备,GICS4通信设备,1,True
000065.SZ,建筑与工程,GICS4建筑与工程,1,True
000066.SZ,电脑硬件、储存设备及电脑周边,GICS4电脑硬件、储存设备及电脑周边,1,True
000068.SZ,电子元件,GICS4电子元件,1,True
000069.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
00007.HK,贸易公司与经销商,GICS4贸易公司与经销商,1,True
000070.SZ,通信设备,GICS4通信设备,1,True
000078.SZ,药品零售,GICS4药品零售,1,True
00008.HK,综合电信业务,GICS4综合电信业务,1,True
000088.SZ,公路与铁路,GICS4公路与铁路,1,True
000089.SZ,机场服务,GICS4机场服务,1,True
00009.HK,房地产经营公司,GICS4房地产经营公司,1,True
000090.SZ,建筑与工程,GICS4建筑与工程,1,True
000096.SZ,石油与天然气的炼制和营销,GICS4石油与天然气的炼制和营销,1,True
000099.SZ,航空货运与物流,GICS4航空货运与物流,1,True
00010.HK,房地产经营公司,GICS4房地产经营公司,1,True
000100.SZ,消费电子产品,GICS4消费电子产品,1,True
00011.HK,综合性银行,GICS4综合性银行,1,True
00012.HK,房地产开发,GICS4房地产开发,1,True
00013.HK,生物科技,GICS4生物科技,1,True
00014.HK,房地产经营公司,GICS4房地产经营公司,1,True
000150.SZ,医疗保健设备,GICS4医疗保健设备,1,True
000151.SZ,贸易公司与经销商,GICS4贸易公司与经销商,1,True
000153.SZ,制药,GICS4制药,1,True
000155.SZ,化肥与农用药剂,GICS4化肥与农用药剂,1,True
000156.SZ,有线和卫星,GICS4有线和卫星,1,True
000157.SZ,建筑机械与重型运输设备,GICS4建筑机械与重型运输设备,1,True
000158.SZ,信息科技咨询与其它服务,GICS4信息科技咨询与其它服务,1,True
000159.SZ,电子设备和仪器,GICS4电子设备和仪器,1,True
000166.SZ,投资银行业与经纪业,GICS4投资银行业与经纪业,1,True
00017.HK,多元化房地产业务,GICS4多元化房地产业务,1,True
00018.HK,出版,GICS4出版,1,True
00019.HK,多元化房地产业务,GICS4多元化房地产业务,1,True
00020.HK,应用软件,GICS4应用软件,1,True
00021.HK,房地产经营公司,GICS4房地产经营公司,1,True
00022.HK,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
00023.HK,综合性银行,GICS4综合性银行,1,True
00025.HK,工业集团企业,GICS4工业集团企业,1,True
00026.HK,多元化房地产业务,GICS4多元化房地产业务,1,True
00027.HK,赌场与赌博,GICS4赌场与赌博,1,True
00028.HK,房地产开发,GICS4房地产开发,1,True
00029.HK,房地产经营公司,GICS4房地产经营公司,1,True
00030.HK,食品分销商,GICS4食品分销商,1,True
000301.SZ,纺织品,GICS4纺织品,1,True
00031.HK,电子设备和仪器,GICS4电子设备和仪器,1,True
00032.HK,教育服务,GICS4教育服务,1,True
00033.HK,经销商,GICS4经销商,1,True
000333.SZ,家用电器,GICS4家用电器,1,True
000338.SZ,汽车零件与设备,GICS4汽车零件与设备,1,True
00034.HK,房地产开发,GICS4房地产开发,1,True
00035.HK,房地产开发,GICS4房地产开发,1,True
00036.HK,房地产经营公司,GICS4房地产经营公司,1,True
00037.HK,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
00038.HK,农用农业机械,GICS4农用农业机械,1,True
00039.HK,经销商,GICS4经销商,1,True
00040.HK,电子元件,GICS4电子元件,1,True
000400.SZ,电气部件与设备,GICS4电气部件与设备,1,True
000401.SZ,建筑材料,GICS4建筑材料,1,True
000402.SZ,房地产开发,GICS4房地产开发,1,True
000403.SZ,制药,GICS4制药,1,True
000404.SZ,工业机械、物料与部件,GICS4工业机械、物料与部件,1,True
000405.SZ,工业集团企业,GICS4工业集团企业,1,True
000406.SZ,石油与天然气的炼制和营销,GICS4石油与天然气的炼制和营销,1,True
000407.SZ,燃气公用事业,GICS4燃气公用事业,1,True
000408.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000409.SZ,信息科技咨询与其它服务,GICS4信息科技咨询与其它服务,1,True
00041.HK,多元化房地产业务,GICS4多元化房地产业务,1,True
000410.SZ,工业机械、物料与部件,GICS4工业机械、物料与部件,1,True
000411.SZ,药品零售,GICS4药品零售,1,True
000412.SZ,工业集团企业,GICS4工业集团企业,1,True
000413.SZ,电子元件,GICS4电子元件,1,True
